Email,frequency,recency,T,monetary_value,Compras_Predichas_6m,Ticket_Promedio_Predicho,LTV_6_Meses_Predicho
cliente_0789@ejemplo.com,4.0,193.0,386.0,155315.0,0.37,152439.28,56904.99
cliente_0236@ejemplo.com,1.0,43.0,96.0,120000.0,0.45,123832.28,56131.22
cliente_0326@ejemplo.com,3.0,305.0,383.0,76852.67,0.64,85058.49,54713.82
cliente_0034@ejemplo.com,1.0,190.0,196.0,150708.0,0.37,143823.66,53580.03
cliente_0102@ejemplo.com,1.0,49.0,68.0,66689.0,0.58,89126.01,51955.57
cliente_0212@ejemplo.com,2.0,403.0,449.0,123211.0,0.41,124853.44,51797.96
cliente_0406@ejemplo.com,3.0,537.0,636.0,109666.67,0.46,112897.93,51520.92
cliente_0142@ejemplo.com,3.0,594.0,621.0,92253.0,0.52,98124.15,50943.77
cliente_0051@ejemplo.com,1.0,107.0,116.0,88161.0,0.49,103104.61,50371.56
cliente_0327@ejemplo.com,2.0,384.0,462.0,127205.5,0.39,128003.6,49381.41
cliente_0724@ejemplo.com,3.0,249.0,412.0,106477.67,0.44,110192.38,48770.76
cliente_0774@ejemplo.com,3.0,442.0,629.0,128242.0,0.37,128657.26,48206.67
cliente_0379@ejemplo.com,1.0,18.0,111.0,139006.0,0.35,136205.48,47764.56
cliente_0691@ejemplo.com,2.0,182.0,336.0,132982.5,0.36,132559.48,47396.55
cliente_0705@ejemplo.com,2.0,440.0,599.0,172437.5,0.29,163674.65,46684.9
cliente_0502@ejemplo.com,1.0,57.0,172.0,174699.0,0.29,159442.17,46400.96
cliente_0615@ejemplo.com,2.0,413.0,549.0,152714.5,0.31,148120.61,46276.78
cliente_0339@ejemplo.com,1.0,77.0,158.0,135738.0,0.34,134077.96,46097.89
cliente_0155@ejemplo.com,1.0,499.0,529.0,316000.0,0.18,251431.27,45859.78
cliente_0226@ejemplo.com,1.0,206.0,254.0,158841.0,0.3,149118.37,44289.9
cliente_0387@ejemplo.com,1.0,44.0,139.0,132574.0,0.34,132018.15,44257.99
cliente_0281@ejemplo.com,1.0,60.0,127.0,99000.0,0.39,110160.97,43066.01
cliente_0254@ejemplo.com,1.0,60.0,117.0,87000.0,0.42,102348.78,42828.79
cliente_0361@ejemplo.com,1.0,416.0,504.0,295337.0,0.18,237979.34,42742.91
cliente_0345@ejemplo.com,3.0,584.0,667.0,86389.0,0.45,93149.12,42313.15
cliente_1062@ejemplo.com,2.0,355.0,616.0,195000.0,0.22,181467.98,40738.2
cliente_0450@ejemplo.com,1.0,8.0,113.0,124429.0,0.32,126715.63,40599.5
cliente_0677@ejemplo.com,2.0,414.0,564.0,136499.5,0.3,135333.08,40562.61
cliente_0647@ejemplo.com,1.0,92.0,233.0,182846.0,0.24,164745.99,40211.73
cliente_0310@ejemplo.com,1.0,46.0,120.0,88756.0,0.39,103491.97,39887.85
cliente_0093@ejemplo.com,2.0,539.0,557.0,102502.0,0.37,108521.82,39872.32
cliente_0521@ejemplo.com,1.0,313.0,431.0,245000.0,0.19,205209.19,39563.24
cliente_0757@ejemplo.com,2.0,298.0,477.0,130469.0,0.3,130577.28,39349.18
cliente_0264@ejemplo.com,1.0,189.0,249.0,135000.0,0.29,133597.51,39279.07
cliente_0593@ejemplo.com,2.0,263.0,392.0,97730.5,0.37,104758.9,39275.69
cliente_1061@ejemplo.com,3.0,265.0,526.0,147023.34,0.27,144591.38,39063.76
cliente_0417@ejemplo.com,3.0,457.0,558.0,70040.33,0.49,79278.89,39056.74
cliente_0711@ejemplo.com,1.0,74.0,235.0,192510.0,0.22,171037.4,38425.47
cliente_0290@ejemplo.com,1.0,66.0,135.0,85000.0,0.38,101046.75,38397.65
cliente_0301@ejemplo.com,1.0,57.0,128.0,83252.0,0.38,99908.78,38310.93
cliente_0103@ejemplo.com,1.0,144.0,163.0,75165.0,0.4,94644.02,38168.52
cliente_0793@ejemplo.com,3.0,282.0,476.0,95143.33,0.38,100576.31,38167.35
cliente_0748@ejemplo.com,4.0,395.0,567.0,68052.51,0.5,75489.29,37956.72
cliente_0335@ejemplo.com,1.0,148.0,228.0,126209.0,0.3,127874.44,37763.82
cliente_0223@ejemplo.com,1.0,89.0,137.0,70000.0,0.41,91281.52,37134.73
cliente_0603@ejemplo.com,1.0,106.0,237.0,154377.99,0.25,146212.88,36795.12
cliente_0193@ejemplo.com,2.0,434.0,474.0,78159.0,0.4,89324.35,35994.35
cliente_0982@ejemplo.com,3.0,241.0,484.0,123424.66,0.29,124570.23,35825.56
cliente_0157@ejemplo.com,1.0,240.0,271.0,114462.0,0.29,120226.96,35255.24
cliente_0767@ejemplo.com,1.0,365.0,549.0,285000.0,0.15,231249.8,35249.0
cliente_0511@ejemplo.com,2.0,367.0,483.0,91589.5,0.35,99915.96,34897.5
cliente_0861@ejemplo.com,2.0,272.0,482.0,126620.5,0.27,127542.25,34803.36
cliente_0348@ejemplo.com,1.0,212.0,295.0,138756.0,0.26,136042.73,34795.02
cliente_0268@ejemplo.com,2.0,418.0,480.0,78035.0,0.39,89226.56,34475.35
cliente_1148@ejemplo.com,2.0,166.0,467.0,209500.0,0.18,192903.03,34279.11
cliente_0588@ejemplo.com,1.0,139.0,267.0,145256.0,0.24,140274.33,34129.3
cliente_0350@ejemplo.com,1.0,47.0,130.0,73756.0,0.36,93726.74,33878.6
cliente_0044@ejemplo.com,2.0,385.0,393.0,53293.5,0.48,69714.81,33676.22
cliente_0378@ejemplo.com,1.0,15.0,107.0,75256.0,0.35,94703.26,33543.93
cliente_1113@ejemplo.com,3.0,223.0,508.0,153278.0,0.22,149897.84,33307.17
cliente_0457@ejemplo.com,1.0,9.0,116.0,91732.0,0.32,105429.39,33271.53
cliente_0128@ejemplo.com,1.0,193.0,217.0,77171.0,0.34,95949.95,32629.21
cliente_0641@ejemplo.com,2.0,2.0,143.0,119590.5,0.27,121998.23,32559.75
cliente_0341@ejemplo.com,1.0,169.0,251.0,107209.0,0.28,115505.15,32339.41
cliente_1394@ejemplo.com,2.0,256.0,672.0,274771.24,0.13,244377.51,32305.56
cliente_0332@ejemplo.com,1.0,125.0,204.0,88101.0,0.31,103065.55,32169.7
cliente_1160@ejemplo.com,1.0,230.0,540.0,324000.0,0.12,256639.39,32063.91
cliente_0167@ejemplo.com,2.0,610.0,642.0,89714.0,0.32,98436.9,31893.89
cliente_0229@ejemplo.com,1.0,168.0,217.0,80689.0,0.32,98240.23,31877.62
cliente_0649@ejemplo.com,3.0,93.0,235.0,63196.33,0.43,73472.44,31869.87
cliente_0272@ejemplo.com,2.0,494.0,558.0,81350.0,0.35,91840.84,31844.41
cliente_0292@ejemplo.com,1.0,327.0,396.0,155000.0,0.22,146617.82,31813.75
cliente_1079@ejemplo.com,1.0,67.0,338.0,279000.0,0.14,227343.71,31381.58
cliente_1033@ejemplo.com,2.0,265.0,519.0,131593.0,0.23,131463.69,30561.06
cliente_1241@ejemplo.com,1.0,101.0,452.0,360000.0,0.11,280075.94,30383.02
cliente_1149@ejemplo.com,1.0,116.0,418.0,289000.0,0.13,233853.86,30104.67
cliente_0485@ejemplo.com,2.0,421.0,532.0,75763.5,0.33,87435.2,29119.9
cliente_1064@ejemplo.com,1.0,49.0,312.0,250000.0,0.14,208464.26,28879.9
cliente_1237@ejemplo.com,6.0,331.0,679.0,232281.17,0.13,223972.94,28870.16
cliente_1250@ejemplo.com,2.0,251.0,609.0,189150.0,0.16,176854.53,28233.65
cliente_0559@ejemplo.com,2.0,537.0,662.0,90966.0,0.28,99424.25,28173.05
cliente_1164@ejemplo.com,4.0,251.0,564.0,154404.01,0.19,151635.95,28140.03
cliente_0707@ejemplo.com,1.0,58.0,218.0,116153.99,0.23,121328.47,27525.24
cliente_0429@ejemplo.com,1.0,45.0,147.0,61106.0,0.32,85491.39,27341.18
cliente_0813@ejemplo.com,2.0,459.0,659.0,102017.0,0.25,108139.34,27219.62
cliente_0522@ejemplo.com,3.0,559.0,677.0,52272.67,0.42,64204.78,27207.27
cliente_0970@ejemplo.com,2.0,318.0,558.0,106107.5,0.24,111365.21,26991.57
cliente_0619@ejemplo.com,2.0,535.0,672.0,88682.6,0.28,97623.51,26933.79
cliente_0595@ejemplo.com,1.0,196.0,325.0,115845.01,0.22,121127.32,26911.79
cliente_0791@ejemplo.com,1.0,57.0,250.0,140000.0,0.19,136852.59,26312.89
cliente_0974@ejemplo.com,2.0,262.0,504.0,101159.0,0.24,107462.7,26100.43
cliente_0516@ejemplo.com,2.0,467.0,583.0,70908.0,0.31,83606.03,26076.27
cliente_0687@ejemplo.com,1.0,376.0,528.0,170839.0,0.16,156929.25,25476.89
cliente_0850@ejemplo.com,1.0,46.0,252.0,148188.0,0.18,142183.1,25428.64
cliente_0907@ejemplo.com,2.0,117.0,341.0,100393.5,0.24,106859.01,25332.09
cliente_0202@ejemplo.com,1.0,553.0,594.0,164900.0,0.17,153062.87,25280.74
cliente_0818@ejemplo.com,2.0,469.0,670.0,91301.5,0.25,99688.84,24845.01
cliente_0822@ejemplo.com,2.0,47.0,250.0,113088.0,0.21,116870.2,24822.14
cliente_0978@ejemplo.com,1.0,8.0,251.0,212850.0,0.13,184279.05,24699.58
cliente_0938@ejemplo.com,3.0,103.0,335.0,118143.33,0.2,120089.54,24424.38
cliente_0874@ejemplo.com,2.0,393.0,606.0,84126.0,0.25,94030.07,23894.89
cliente_0738@ejemplo.com,1.0,266.0,433.0,134965.0,0.18,133574.73,23875.69
cliente_1156@ejemplo.com,1.0,153.0,460.0,214000.0,0.13,185027.72,23679.68
cliente_0535@ejemplo.com,1.0,163.0,283.0,79256.0,0.24,97307.32,23562.44
cliente_1036@ejemplo.com,1.0,68.0,323.0,175000.0,0.15,159638.12,23532.95
cliente_0760@ejemplo.com,1.0,79.0,258.0,105111.01,0.21,114139.33,23505.29
cliente_0642@ejemplo.com,1.0,150.0,291.0,87433.0,0.23,102630.67,23305.11
cliente_0880@ejemplo.com,3.0,32.0,247.0,201666.67,0.12,190950.85,23273.82
cliente_0950@ejemplo.com,1.0,270.0,504.0,170000.0,0.15,156383.05,23169.74
cliente_0640@ejemplo.com,1.0,66.0,207.0,72106.0,0.25,92652.56,23143.51
cliente_1130@ejemplo.com,1.0,194.0,487.0,198000.0,0.13,174611.47,23135.7
cliente_1029@ejemplo.com,1.0,222.0,476.0,170100.0,0.15,156448.15,22795.8
cliente_0750@ejemplo.com,1.0,352.0,526.0,149000.0,0.16,142711.73,22606.08
cliente_0573@ejemplo.com,1.0,4.0,130.0,56429.0,0.27,82446.6,22431.66
cliente_1131@ejemplo.com,2.0,202.0,496.0,111318.0,0.19,115474.33,22259.45
cliente_0876@ejemplo.com,1.0,345.0,559.0,164500.0,0.15,152802.46,22168.99
cliente_0701@ejemplo.com,1.0,309.0,466.0,123415.0,0.17,126055.5,21957.61
cliente_0879@ejemplo.com,1.0,34.0,248.0,127546.0,0.17,128744.85,21728.13
cliente_1178@ejemplo.com,3.0,171.0,490.0,141501.0,0.15,139906.22,21659.26
cliente_0726@ejemplo.com,1.0,30.0,194.0,81184.01,0.22,98562.48,21637.08
cliente_1004@ejemplo.com,3.0,97.0,345.0,125392.0,0.17,126239.32,21631.68
cliente_0862@ejemplo.com,1.0,254.0,464.0,136000.0,0.16,134248.53,21532.48
cliente_0631@ejemplo.com,1.0,15.0,155.0,61307.99,0.25,85622.89,21445.92
cliente_1016@ejemplo.com,1.0,294.0,544.0,166000.0,0.14,153778.99,21441.99
cliente_0786@ejemplo.com,1.0,407.0,599.0,159800.0,0.14,149742.69,21430.18
cliente_1032@ejemplo.com,2.0,55.0,309.0,139500.0,0.15,137699.34,21336.76
cliente_0458@ejemplo.com,1.0,475.0,582.0,134512.0,0.16,133279.82,21192.2
cliente_0998@ejemplo.com,1.0,122.0,368.0,136000.0,0.16,134248.53,20964.33
cliente_0574@ejemplo.com,1.0,5.0,131.0,47756.0,0.27,76800.34,20928.15
cliente_0530@ejemplo.com,1.0,7.0,126.0,41429.0,0.29,72681.37,20914.08
cliente_0736@ejemplo.com,1.0,58.0,225.0,76000.0,0.22,95187.62,20829.68
cliente_0833@ejemplo.com,1.0,272.0,477.0,130000.0,0.16,130342.44,20816.96
cliente_1071@ejemplo.com,1.0,61.0,329.0,159000.0,0.14,149221.88,20670.03
cliente_1008@ejemplo.com,1.0,41.0,290.0,148000.0,0.14,142060.71,20589.65
cliente_0716@ejemplo.com,1.0,272.0,434.0,101965.0,0.18,112091.23,20174.44
cliente_0919@ejemplo.com,1.0,438.0,666.0,169000.0,0.13,155732.03,20058.37
cliente_1002@ejemplo.com,1.0,303.0,550.0,150000.0,0.14,143362.74,19985.93
cliente_0881@ejemplo.com,1.0,326.0,541.0,137500.0,0.15,135225.05,19943.02
cliente_1111@ejemplo.com,1.0,264.0,549.0,163999.0,0.13,152476.3,19933.15
cliente_0262@ejemplo.com,1.0,418.0,476.0,85000.0,0.19,101046.75,19480.53
cliente_0756@ejemplo.com,1.0,35.0,214.0,76934.01,0.2,95795.67,19438.47
cliente_0729@ejemplo.com,1.0,299.0,463.0,101965.0,0.17,112091.23,19400.53
cliente_0839@ejemplo.com,1.0,18.0,223.0,104509.0,0.17,113747.41,19379.38
cliente_1060@ejemplo.com,1.0,89.0,350.0,132242.0,0.15,131802.01,19319.82
cliente_0147@ejemplo.com,1.0,454.0,482.0,80586.99,0.2,98173.82,19268.87
cliente_0579@ejemplo.com,1.0,104.0,231.0,44756.0,0.26,74847.3,19245.49
cliente_0038@ejemplo.com,1.0,383.0,391.0,55165.0,0.23,81623.71,19096.31
cliente_0719@ejemplo.com,1.0,434.0,596.0,123184.01,0.15,125905.12,18672.47
cliente_1363@ejemplo.com,1.0,201.0,603.0,214318.0,0.1,185234.74,18475.96
cliente_0847@ejemplo.com,1.0,20.0,226.0,95965.0,0.17,108185.13,18433.81
cliente_1083@ejemplo.com,1.0,241.0,513.0,135000.0,0.14,133597.51,18314.5
cliente_0628@ejemplo.com,1.0,346.0,486.0,87838.0,0.17,102894.33,17870.11
cliente_0772@ejemplo.com,1.0,286.0,472.0,95000.0,0.17,107556.9,17812.26
cliente_1104@ejemplo.com,2.0,49.0,331.0,147000.0,0.12,143614.02,17723.58
cliente_0746@ejemplo.com,1.0,48.0,219.0,55186.0,0.21,81637.38,17461.01
cliente_1055@ejemplo.com,1.0,37.0,297.0,126000.0,0.14,127738.38,17455.38
cliente_0045@ejemplo.com,1.0,558.0,566.0,82171.0,0.18,99205.03,17435.85
cliente_0857@ejemplo.com,1.0,14.0,222.0,91000.0,0.17,104952.84,17374.91
cliente_0696@ejemplo.com,1.0,489.0,645.0,118465.0,0.14,122832.98,17357.99
cliente_1106@ejemplo.com,1.0,273.0,556.0,132704.0,0.13,132102.78,17256.07
cliente_0389@ejemplo.com,1.0,414.0,509.0,78592.01,0.18,96875.05,17156.53
cliente_0654@ejemplo.com,1.0,492.0,634.0,111106.0,0.14,118042.16,17100.49
cliente_0667@ejemplo.com,1.0,484.0,627.0,109709.0,0.15,117132.69,17087.53
cliente_0699@ejemplo.com,1.0,244.0,400.0,66934.01,0.19,89285.52,16953.95
cliente_0455@ejemplo.com,1.0,455.0,561.0,88841.0,0.16,103547.3,16924.29
cliente_0765@ejemplo.com,1.0,230.0,414.0,75611.0,0.18,94934.37,16834.58
cliente_0715@ejemplo.com,1.0,170.0,332.0,56146.0,0.2,82262.36,16813.75
cliente_1410@ejemplo.com,1.0,127.0,554.0,214318.0,0.09,185234.74,16583.28
cliente_1110@ejemplo.com,1.0,40.0,325.0,135000.0,0.12,133597.51,16507.52
cliente_0977@ejemplo.com,1.0,161.0,403.0,91242.0,0.16,105110.39,16452.38
cliente_1261@ejemplo.com,1.0,208.0,572.0,160000.0,0.11,149872.89,16418.8
cliente_0589@ejemplo.com,1.0,268.0,396.0,55629.0,0.2,81925.78,16387.95
cliente_1552@ejemplo.com,1.0,115.0,600.0,262673.99,0.08,216715.22,16366.93
cliente_1147@ejemplo.com,1.0,310.0,611.0,134100.0,0.12,133011.6,16264.95
cliente_1420@ejemplo.com,1.0,206.0,636.0,195241.0,0.09,172815.32,16148.1
cliente_1246@ejemplo.com,1.0,201.0,555.0,150000.0,0.11,143362.74,16112.42
cliente_0671@ejemplo.com,1.0,495.0,641.0,102000.0,0.14,112114.01,16057.63
cliente_1356@ejemplo.com,3.0,175.0,575.0,167536.33,0.1,161994.63,15959.78
cliente_1188@ejemplo.com,1.0,293.0,615.0,136372.01,0.12,134490.71,15842.79
cliente_1283@ejemplo.com,1.0,264.0,639.0,159139.0,0.11,149312.37,15795.0
cliente_1035@ejemplo.com,1.0,419.0,674.0,123903.99,0.12,126373.84,15682.47
cliente_0199@ejemplo.com,1.0,581.0,622.0,80000.0,0.16,97791.68,15572.09
cliente_1108@ejemplo.com,1.0,223.0,506.0,106065.0,0.13,114760.39,15437.32
cliente_0205@ejemplo.com,1.0,578.0,621.0,78161.0,0.16,96594.46,15379.57
cliente_1100@ejemplo.com,1.0,15.0,296.0,135000.0,0.11,133597.51,15359.1
cliente_0796@ejemplo.com,1.0,427.0,622.0,99111.01,0.14,110233.23,15354.47
cliente_0925@ejemplo.com,1.0,64.0,293.0,73242.0,0.16,93392.12,15302.05
cliente_0600@ejemplo.com,1.0,251.0,381.0,42377.99,0.2,73299.17,14941.46
cliente_1625@ejemplo.com,1.0,97.0,600.0,258661.99,0.07,214103.35,14897.15
cliente_1161@ejemplo.com,1.0,241.0,553.0,114088.99,0.12,119984.13,14846.29
cliente_0965@ejemplo.com,1.0,17.0,254.0,88000.0,0.14,102999.8,14778.09
cliente_1432@ejemplo.com,1.0,197.0,631.0,175241.0,0.09,159795.02,14753.25
cliente_1078@ejemplo.com,1.0,400.0,670.0,113372.01,0.12,119517.36,14618.0
cliente_1176@ejemplo.com,1.0,45.0,362.0,132318.0,0.11,131851.49,14510.08
cliente_1467@ejemplo.com,1.0,19.0,480.0,308263.0,0.06,246394.36,14379.47
cliente_1138@ejemplo.com,1.0,323.0,620.0,110000.0,0.12,117322.13,14352.26
cliente_0832@ejemplo.com,1.0,97.0,301.0,49242.0,0.18,77767.75,14307.51
cliente_0845@ejemplo.com,1.0,194.0,399.0,56934.01,0.17,82775.37,14262.21
cliente_0840@ejemplo.com,1.0,83.0,288.0,49242.0,0.18,77767.75,14260.86
cliente_1243@ejemplo.com,1.0,42.0,395.0,160000.0,0.1,149872.89,14249.93
cliente_0843@ejemplo.com,1.0,297.0,502.0,70146.0,0.16,91376.57,14225.4
cliente_0980@ejemplo.com,1.0,383.0,626.0,95242.0,0.13,107714.45,14135.75
cliente_1315@ejemplo.com,1.0,254.0,641.0,140153.0,0.1,136952.19,14133.85
cliente_0831@ejemplo.com,1.0,34.0,238.0,51934.01,0.18,79520.29,14118.98
cliente_1011@ejemplo.com,1.0,6.0,255.0,93934.01,0.13,106862.93,13750.58
cliente_1366@ejemplo.com,1.0,265.0,668.0,142065.0,0.1,138196.94,13742.12
cliente_0537@ejemplo.com,1.0,340.0,461.0,44500.0,0.18,74680.64,13739.13
cliente_0826@ejemplo.com,1.0,382.0,585.0,76934.01,0.14,95795.67,13731.47
cliente_1154@ejemplo.com,4.0,69.0,374.0,326079.5,0.05,303023.19,13652.66
cliente_0383@ejemplo.com,1.0,538.0,632.0,67256.0,0.15,89495.14,13531.23
cliente_1631@ejemplo.com,1.0,48.0,551.0,271161.99,0.06,222241.04,13256.34
cliente_1434@ejemplo.com,1.0,157.0,592.0,155241.0,0.09,146774.71,13235.49
cliente_1146@ejemplo.com,1.0,13.0,313.0,123318.0,0.1,125992.35,13154.47
cliente_0370@ejemplo.com,1.0,544.0,635.0,63079.0,0.15,86775.85,13103.7
cliente_0243@ejemplo.com,1.0,493.0,547.0,42000.0,0.17,73053.1,12735.32
cliente_1190@ejemplo.com,2.0,357.0,679.0,50500.0,0.19,67511.79,12658.33
cliente_1248@ejemplo.com,1.0,34.0,390.0,142500.0,0.09,138480.13,12639.63
cliente_1236@ejemplo.com,1.0,85.0,433.0,107372.01,0.11,115611.27,12391.51
cliente_1038@ejemplo.com,1.0,174.0,429.0,56959.0,0.15,82791.63,12362.31
cliente_1289@ejemplo.com,1.0,134.0,512.0,112059.0,0.1,118662.57,12248.7
cliente_1377@ejemplo.com,1.0,78.0,485.0,144075.0,0.09,139505.48,12213.81
cliente_1374@ejemplo.com,1.0,27.0,434.0,182704.0,0.07,164653.54,12091.95
cliente_1293@ejemplo.com,1.0,21.0,401.0,164318.0,0.08,152683.98,11986.6
cliente_1588@ejemplo.com,1.0,103.0,599.0,185493.0,0.07,166469.22,11948.65
cliente_0815@ejemplo.com,1.0,461.0,661.0,66934.01,0.13,89285.52,11897.1
cliente_1026@ejemplo.com,1.0,22.0,275.0,64242.0,0.13,87532.98,11813.84
cliente_1069@ejemplo.com,2.0,25.0,292.0,99499.5,0.11,106153.98,11658.65
cliente_1338@ejemplo.com,2.0,111.0,504.0,113535.5,0.1,117223.11,11523.6
cliente_1252@ejemplo.com,1.0,18.0,377.0,140000.0,0.08,136852.59,11458.07
cliente_1458@ejemplo.com,1.0,212.0,666.0,125715.0,0.09,127552.84,11302.78
cliente_1447@ejemplo.com,1.0,187.0,629.0,122065.0,0.09,125176.63,11296.0
cliente_1567@ejemplo.com,1.0,171.0,658.0,144933.0,0.08,140064.05,11260.46
cliente_1387@ejemplo.com,1.0,96.0,508.0,118372.01,0.09,122772.44,10971.56
cliente_1619@ejemplo.com,1.0,120.0,621.0,151000.0,0.07,144013.76,10531.43
cliente_1328@ejemplo.com,1.0,7.0,397.0,162556.0,0.07,151536.89,10500.74
cliente_1421@ejemplo.com,1.0,8.0,438.0,195948.0,0.06,173275.59,10429.45
cliente_1445@ejemplo.com,1.0,44.0,484.0,155241.0,0.07,146774.71,10428.23
